product_handle	variant_title	sku	price_usd	price_usd_cents	acquisition_price_usd	acquisition_price_cents	manage_inventory	allow_backorder	option_1_name	option_1_value	option_2_name	option_2_value	option_3_name	option_3_value	weight	length	width	height	metadata_json
cbd-gummies-broad-spectrum	25mg • 4ct	GUM-BS-CBD-25-4CT	10.00	1000	4.50	450	FALSE	TRUE	Dose (mg)	25	Count (ct)	4ct			85.04	4	4	6	{"variant_description":"Total Hemp offers Proleve's 25mg Broad Spectrum CBD Gummies to help banish stress and anxiety and push back against pain. Each gummy is infused with 25mg of the finest hemp-derived broad spectrum oil and comes in an assortment of great flavors. Not sure if CBD is all it's cracked up to be? This 4 count pack is the perfect way to give it a road test. These gummies are proudly all natural, organic, non-GMO, vegan, and contain the superior quality and purity you expect from Proleve.","variant_product_details":["25mg Broad Spectrum CBD per Gummy","Serving Size 1 Gummy","4 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: relaxation and helping with anxiety, stress and pain relief"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbd-gummies-broad-spectrum	25mg • 30ct	GUM-BS-CBD-25-30CT	22.00	2200	12.00	1200	FALSE	TRUE	Dose (mg)	25	Count (ct)	30ct			186.00	4	4	6	{"variant_description":"Total Hemp offers Proleve's 25mg Broad Spectrum CBD Gummies to help show stress and anxiety the door while alleviating discomfort. Each gummy is infused with 25mg of the finest hemp-derived broad spectrum oil and comes in an assortment of great flavors. Available in a convenient 30 count bottle, these gummies are proudly all natural, organic, non-GMO, vegan, and contain the superior quality and purity you expect from Proleve.","variant_product_details":["25mg Broad Spectrum CBD per Gummy","Serving Size 1 Gummy","30 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: relaxation and helping with anxiety, stress and pain relief"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbd-gummies-broad-spectrum	25mg • 100ct	GUM-BS-CBD-25-100CT	60.00	6000	35.00	3500	FALSE	TRUE	Dose (mg)	25	Count (ct)	100ct			570.00	4	4	6	{"variant_description":"Total Hemp offers Proleve's 25mg Broad Spectrum CBD Gummies to help take the edge off stress, dial down discomfort, and invite calm. Each gummy is infused with 25mg of the finest hemp-derived broad spectrum oil, and the 100 count pack allows you to prolong relief between stock ups. Offered in an assortment of great flavors, these gummies are proudly all natural, organic, non-GMO, vegan, and contain the superior quality and purity you expect from Proleve.","variant_product_details":["25mg Broad Spectrum CBD per Gummy","Serving Size 1 Gummy","100 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: relaxation and helping with anxiety, stress and pain relief"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbd-gummies-broad-spectrum	50mg • 4ct	GUM-BS-CBD-50-4CT	16.00	1600	8.50	850	FALSE	TRUE	Dose (mg)	50	Count (ct)	4ct			85.04	4	4	6	{"variant_description":"Total Hemp offers Proleve's 50mg Broad Spectrum CBD Gummies to support stress and anxiety management while easing chronic pain. Each gummy is infused with 50mg of the finest hemp-derived broad spectrum oil and comes in an assortment of great flavors. Not sure if CBD is right for you? This 4 count pack is just the thing for a trial run. These gummies are proudly all natural, organic, non-GMO, vegan, and contain the superior quality and purity you expect from Proleve.","variant_product_details":["50mg Broad Spectrum CBD per Gummy","Serving Size 1 Gummy","4 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: relaxation and helping with anxiety, stress and pain relief"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbd-gummies-broad-spectrum	50mg • 30ct	GUM-BS-CBD-50-30CT	35.00	3500	18.00	1800	FALSE	TRUE	Dose (mg)	50	Count (ct)	30ct			186.00	4	4	6	{"variant_description":"Total Hemp offers Proleve's 50mg Broad Spectrum CBD Gummies to help tamp down anxiety and stress while supporting relaxation. Each gummy is infused with 50mg of the finest hemp-derived broad spectrum oil, is available in an assortment of fruit flavors, and comes in a convenient 30 count bottle. These gummy cubes are proudly all natural, organic, non-GMO, vegan, and contain the superior quality and purity you expect from Proleve.","variant_product_details":["50mg Broad Spectrum CBD per Gummy","Serving Size 1 Gummy","30 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: relaxation and helping with anxiety, stress and pain relief"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbd-gummies-broad-spectrum	50mg • 100ct	GUM-BS-CBD-50-100CT	100.00	10000	55.00	5500	FALSE	TRUE	Dose (mg)	50	Count (ct)	100ct			570.00	4	4	6	{"variant_description":"Total Hemp offers Proleve's 50mg Broad Spectrum CBD Gummies to help melt into relaxation and dull the sharp edges of pain. Each gummy is infused with 50mg of the finest hemp-derived broad spectrum oil and comes in an assortment of great flavors. The 100 count pack means you can extend the time between stock ups. These gummies are proudly all natural, organic, non-GMO, vegan, and contain the superior quality and purity you expect from Proleve.","variant_product_details":["50mg Broad Spectrum CBD per Gummy","Serving Size 1 Gummy","100 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: relaxation and helping with anxiety, stress and pain relief"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbd-gummies-broad-spectrum-melatonin	25mg • 4ct	GUM-BS-CBD-25-4CT-MEL	10.00	1000	4.50	450	FALSE	TRUE	Dose (mg)	25	Count (ct)	4ct			85.04	4	4	6	{"variant_description":"From Proleve, this 25mg Broad Spectrum CBD PM Sleep Gummy combines 25mg of hemp-derived broad spectrum CBD with 2.5mg of melatonin to help you fall asleep and stay asleep. The 4-count pack is a simple trial size. Made with non-GMO, vegan ingredients and Proleve's quality, and available at Total Hemp.","variant_product_details":["25mg Broad Spectrum CBD per Gummy","2.5mg of Melatonin","Serving Size 1 Gummy","4 Count Bottle","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: Helping you to fall asleep and stay asleep"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp, Melatonin."}
cbd-gummies-broad-spectrum-melatonin	25mg • 30ct	GUM-BS-CBD-25-30CT-MEL	22.00	2200	12.00	1200	FALSE	TRUE	Dose (mg)	25	Count (ct)	30ct			186.00	4	4	6	{"variant_description":"Proleve's 25mg Broad Spectrum CBD PM Sleep Gummies are designed for nighttime use. Each gummy delivers 25mg of hemp-derived broad spectrum CBD plus 2.5mg of melatonin, and comes in a 30-count bottle of assorted flavors for easy bedtime dosing.","variant_product_details":["25mg Broad Spectrum CBD per Gummy","2.5mg of Melatonin","Serving Size 1 Gummy","30 Count Bottle","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: Helping you to fall asleep and stay asleep"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp, Melatonin."}
cbd-gummies-broad-spectrum-melatonin	25mg • 100ct	GUM-BS-CBD-25-100CT-MEL	65.00	6500	35.00	3500	FALSE	TRUE	Dose (mg)	25	Count (ct)	100ct			570.00	4	4	6	{"variant_description":"A Proleve favorite for nightly routines, this 25mg Broad Spectrum CBD PM Sleep Gummy pairs 25mg of broad spectrum CBD with 2.5mg of melatonin. The 100-count pack lets you enjoy weeks of restful nights between restocks.","variant_product_details":["25mg Broad Spectrum CBD per Gummy","2.5mg of Melatonin","Serving Size 1 Gummy","100 Count Bottle","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: Helping you to fall asleep and stay asleep"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp, Melatonin."}
cbd-gummies-broad-spectrum-melatonin	50mg • 4ct	GUM-BS-CBD-50-4CT-MEL	16.00	1600	8.50	850	FALSE	TRUE	Dose (mg)	50	Count (ct)	4ct			85.04	4	4	6	{"variant_description":"Looking for a stronger nighttime option? Proleve's 50mg Broad Spectrum CBD PM Sleep Gummies combine 50mg of CBD with 2.5mg of melatonin. The 4-count pack is a quick trial before moving up to a larger size.","variant_product_details":["50mg Broad Spectrum CBD per Gummy","2.5mg of Melatonin","Serving Size 1 Gummy","4 Count Bottle","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: Helping you to fall asleep and stay asleep"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp, Melatonin."}
cbd-gummies-broad-spectrum-melatonin	50mg • 30ct	GUM-BS-CBD-50-30CT-MEL	35.00	3500	18.00	1800	FALSE	TRUE	Dose (mg)	50	Count (ct)	30ct			186.00	4	4	6	{"variant_description":"Crafted by Proleve and available at Total Hemp, this 50mg Broad Spectrum CBD PM Sleep Gummy includes 2.5mg of melatonin and comes in a 30-count bottle of assorted flavors for nighttime use.","variant_product_details":["50mg Broad Spectrum CBD per Gummy","2.5mg of Melatonin","Serving Size 1 Gummy","30 Count Bottle","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: Helping you to fall asleep and stay asleep"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp, Melatonin."}
cbd-gummies-broad-spectrum-melatonin	50mg • 100ct	GUM-BS-CBD-50-100CT-MEL	105.00	10500	55.00	5500	FALSE	TRUE	Dose (mg)	50	Count (ct)	100ct			570.00	4	4	6	{"variant_description":"This Proleve 50mg Broad Spectrum CBD PM Sleep Gummy is formulated for nighttime use with 2.5mg of melatonin. The 100-count pack extends the time between restocks while keeping your bedtime routine consistent.","variant_product_details":["50mg Broad Spectrum CBD per Gummy","2.5mg of Melatonin","Serving Size 1 Gummy","100 Count Bottle","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: Helping you to fall asleep and stay asleep"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp, Melatonin."}
cbg-gummies	25mg • 4ct	GUM-BS-CBG-25-4CT	16.00	1600	8.50	850	FALSE	TRUE	Dose (mg)	25	Count (ct)	4ct			85.04	4	4	6	{"variant_description":"Proleve's 25mg CBG Gummies help say farewell to wandering thoughts and welcome improved concentration. CBG is a cannabinoid from hemp often called the mother cannabinoid because it's the precursor to other cannabinoids. Each gummy is infused with 25mg of hemp-derived oil and comes in an assortment of flavors. The 4 count bag is a great way to get to know CBG. These gummies are all natural, non-GMO, vegan, and made to Proleve's quality standards.","variant_product_details":["25mg CBG per Gummy","Serving Size 1 Gummy","4 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: improving focus and mental clarity, promoting relaxation; managing anxiety, and inflammation; sleep support"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbg-gummies	25mg • 30ct	GUM-BS-CBG-25-30CT	30.00	3000	15.00	1500	FALSE	TRUE	Dose (mg)	25	Count (ct)	30ct			186.00	4	4	6	{"variant_description":"From Proleve, this 25mg CBG Gummy helps fight mental fuzziness and invite tranquility. CBG, short for cannabigerol, is often called the mother cannabinoid because it's the compound from which other cannabinoids are derived. Each gummy is infused with 25mg of hemp-derived oil and comes in a convenient 30 count bottle of assorted flavors.","variant_product_details":["25mg CBG per Gummy","Serving Size 1 Gummy","30 Count Bottle","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: improving focus and mental clarity, promoting relaxation; managing anxiety, and inflammation; sleep support"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbg-gummies	25mg • 100ct	GUM-BS-CBG-25-100CT	90.00	9000	45.00	4500	FALSE	TRUE	Dose (mg)	25	Count (ct)	100ct			570.00	4	4	6	{"variant_description":"Available at Total Hemp, Proleve's 25mg CBG Gummies help hone concentration while promoting relaxation. CBG is often called the mother cannabinoid because it's the precursor to other cannabinoids. Each gummy is infused with 25mg of hemp-derived oil, and the 100 count pack extends the time between orders. Offered in an assortment of flavors, these gummies are all natural, non-GMO, vegan, and made to Proleve's quality standards.","variant_product_details":["25mg CBG per Gummy","Serving Size 1 Gummy","100 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","A customer favorite for: improving focus and mental clarity, promoting relaxation; managing anxiety, and inflammation; sleep support"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbg-gummies-b12	25mg • 4ct	GUM-BS-CBG-25-4CT-B12	18.00	1800	8.75	875	FALSE	TRUE	Dose (mg)	25	Count (ct)	4ct			85.04	4	4	6	{"variant_description":"This Proleve 25mg CBG + B12 Gummy sharpens mental clarity with 25mg of hemp-derived CBG and 1000mcg of B12, supporting DNA creation. Not ready to commit to a full size? The 4 count pack is a great way to give it a try. These gummies are all natural, non-GMO, vegan, and made to Proleve's quality standards.","variant_product_details":["25mg CBG per Gummy","1000mcg B12 per Gummy","Serving Size 1 Gummy","4 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: improving focus, mental clarity, and energy levels; managing anxiety, and inflammation, sleep support"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbg-gummies-b12	25mg • 30ct	GUM-BS-CBG-25-30CT-B12	35.00	3500	16.00	1600	FALSE	TRUE	Dose (mg)	25	Count (ct)	30ct			186.00	4	4	6	{"variant_description":"Crafted by Proleve and available at Total Hemp, these 25mg CBG + B12 Gummies combine 25mg of hemp-derived CBG with 1000mcg of B12 to support energy and red blood cell formation. The 30 count bottle includes assorted flavors and an easy daily routine.","variant_product_details":["25mg CBG per Gummy","1000mcg B12 per Gummy","Serving Size 1 Gummy","30 Count Bottle","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: improving focus, mental clarity, and energy levels; managing anxiety, and inflammation, sleep support"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
cbg-gummies-b12	25mg • 100ct	GUM-BS-CBG-25-100CT-B12	100.00	10000	48.00	4800	FALSE	TRUE	Dose (mg)	25	Count (ct)	100ct			570.00	4	4	6	{"variant_description":"A Proleve favorite, these 25mg CBG + B12 Gummies help improve focus and energy while delivering 1000mcg of B12 for nerve support. The 100 count pack lets you experience all that CBG has to offer before restocking, with assorted flavors in every bottle.","variant_product_details":["25mg CBG per Gummy","1000mcg B12 per Gummy","Serving Size 1 Gummy","100 Count Pack","Third-party ISO lab tested","Vegan and infused","THC Free","Assorted Flavors","Our customers like this for: improving focus, mental clarity, and energy levels; managing anxiety, and inflammation, sleep support"],"variant_ingredients":"Organic Glucose Syrup (wheat), Organic Cane Sugar, Pectin, Citric Acid, Ascorbic Acid, Natural Flavors, Natural Colors (organic concentrated apple, organic carrot, organic pumpkin, organic black currant), Industrial Hemp."}
